Author,Work,Citation,Original,English
Homer, Iliad,9. 374,," of the Achaeans came,—nay, nor all that the marblethreshold of the Archer Phoebus Apollo encloseth in rocky"
Isaeus,Dicaeogenes,5.42,"ἔτι δ᾽ ἐν ἀκροπόλει ἀπαρχὰς τῶν ὄντωνἀναθέντες πολλοῖς, ὡς ἀπὸ ἰδίας κτήσεως, ἀγάλμασι χαλκοῖς καὶ λιθίνοις κεκοσμήκασι τὸἱερόν. αὐτοὶ δ᾽ ὑπὲρ τῆς πατρίδος πολεμοῦντεςἀπέθανον, Δικαιογένης μὲν ὁ Μενεξένου τοῦἐμοῦ πάππου πατὴρ στρατηγῶν ὅτε ἡ ἐνἘλευσῖνι μάχη ἐγένετο, Μενέξενος δ᾽ ὁ ἐκείνουὑὸς φυλαρχῶν τῆς Ὀλυνθίας1 ἐν Σπαρτώλῳ, Δικαιογένης δὲ ὁ Μενεξένου τριηραρχῶν τῆςΠαράλου ἐν Κνίδῳ."," their wealth, they have adorned the shrine with bronze and marble statues, numerous, indeed, to have been provided out of"
Pausanias,Description of Greece,1.14.7,"Δελφῶν δὲ ἀνάθημά ἐστιν αὐτῶνπλησίον τοῦ βωμοῦ τοῦ μεγάλου λύκοςχαλκοῦς. λέγουσι δὲ τῶν τοῦ θεοῦχρημάτων συλήσαντα ἄνθρωπον, τὸν μὲνὁμοῦ τῷ χρυσίῳ κατακρύψαντα ἔχειναὑτὸν ἔνθα τοῦ Παρνασσοῦ μάλιστα ἦνσυνεχὲς ὑπὸ ἀγρίων δένδρων, λύκον δὲἐπιθέσθαι οἱ καθεύδοντι, καὶ ἀποθανεῖντε ὑπὸ τοῦ λύκου τὸν ἄνθρωπον καὶ ὡς ἐςτὴν πόλιν ὁσημέραι φοιτῶν ὠρύετο ὁλύκος: ἐπεὶ δὲ οὐκ ἄνευ θεοῦπαραγίνεσθαί σφισιν ὑπελάμβανον, οὕτως ἐπακολουθοῦσι τῷ θηρίῳ, καὶἀνευρίσκουσί τε τὸ ἱερὸν χρυσίον καὶἀνέθεσαν λύκον τῷ θεῷ χαλκοῦν.",of Heavenly Aphrodite. The statue still extant is of Parian marble and is the work of Pheidias. One of the
Pausanias,Description of Greece,1.18.8,,"There are also statues in Phrygian marble of Persians supporting a bronze tripod; both the figures... and, most famous of all, a hundred pillars of Phrygian marble. The walls too are constructed of the same material"
Pausanias,Description of Greece,1.19.6,," impressive to hear of, is a race-course of white marble, the size of which can best be estimated from"
Pausanias,Description of Greece,1.22.4,,"a strong wall. The gateway has a roof of white marble, and down to the present day it is unrivalled"
Pausanias,Description of Greece,1.32.5,,as a hero. A trophy too of white marble has been erected. Although the Athenians assert that they
Pausanias,Description of Greece,1.33.2,,"taking Athens , they were bringing a piece of Parian marble to make a trophy, convinced that their task was already finished. Of this marble Pheidias made a statue of Nemesis, and on the"
Pausanias,Description of Greece,1.34.2,,Trophonius. The Oropians have both a temple and a white marble statue of Amphiaraus. The altar shows parts.
Pausanias,Description of Greece,1.42.5,,"brick, but the emperor Hadrian afterwards built it of white marble. The Apollo called Pythian and the one called Decatephorus"
Pausanias,Description of Greece,1.43.5,,By the side of it is a Satyr of Parian marble made by Praxiteles. This Dionysus they call Patrous
Pausanias,Description of Greece,2.1.7,,Worth seeing here are a theater and a white-marble race-course. Within the sanctuary of the god stand
Pausanias,Description of Greece,2.2.8,,"a temple of Fortune, with a standing image of Parian marble. Beside it is a sanctuary for all the gods."
Pausanias,Description of Greece,2.3.3,,"Artemis. The spring is ornamented with white marble, and there have been made chambers like caves, out"
Pausanias,Description of Greece,2.4.1,,"of wood, but face, hands and feet are of white marble. That Bellerophontes was not an absolute king, ... The images of Asclepius and of Health are of white marble, that of Zeus is of bronze. The"
Pausanias,Description of Greece,2.7.5,,"and ivory, and by his side are Bacchanals of white marble. These women they say are sacred to Dionysus and"
Pausanias,Description of Greece,2.10.7,,"by Cleinias, and they still train the youths here. White marble images are here, an Artemis wrought only to the"
Pausanias,Description of Greece,2.11.1,,"Pan, and one to Helius （Sun） made of white marble. On the way down to the plain"
Pausanias,Description of Greece,2.13.4,,"is a temple of Hera with an image of Parian marble. On the citadel is another enclosure, which"
Pausanias,Description of Greece,2.20.1,,"seated image of Zeus Meilichius （Gracious）, made of white marble by Polycleitus. c. 480-410 B.C. I"
Pausanias,Description of Greece,2.21.4,,body buried it here. The building of white marble in just about the middle of the marketplace is
Pausanias,Description of Greece,2.23.4,,"at Argos contains at the present day a white-marble image of the god seated, and by his side"
Pausanias,Description of Greece,2.24.5,,"and there have been made white-marble images of Apollo, Leto, and Artemis, which they say"
Pausanias,Description of Greece,2.27.3,,"Near has been built a circular building of white marble, called Tholos （Round House）, which is worth seeing."
Pausanias,Description of Greece,2.29.1,," say, was the wife of Asclepius. These are of Parian marble, and are set up in the open. There is ... called the shrine of Aeacus, a quadrangular enclosure of white marble. Wrought in relief at the "
Pausanias,Description of Greece,2.31.3,,"of Pittheus, on which are placed three seats of white marble. On them they say that Pittheus and two men"
Pausanias,Description of Greece,2.34.11,,"and Limenia （of the Harbor）, and a white-marble image of huge size, and worth seeing for its"
Pausanias,Description of Greece,2.35.3,,"the newest in their city; a colossus of Parian marble stands there. Of their wells, one is very old;"
Pausanias,Description of Greece,2.36.3,," in addition one of Demeter. The images are of white marble, and are upright. Next comes a district"
Pausanias,Description of Greece,3.11.3,,"splendid as it is now. On the pillars are white-marble figures of Persians, including Mardonius, son of Gobryas. There"
Pausanias,Description of Greece,3.14.1,,"Not far from it is the theater, made of white marble and worth seeing. Opposite the theater are two tombs;"
Pausanias,Description of Greece,3.21.4,,"the village stands an image of Zeus of Croceae in marble, and the Dioscuri in bronze are at the quarry."
Pausanias,Description of Greece,3.22.4,,the coast. Well worth seeing here are a temple and marble image of the Mother of the Gods. The people
Pausanias,Description of Greece,4.31.6,,"a statue of the Mother of the Gods, of Parian marble, the work of Damophon, The date of Damophon of... daughter of Triopas with a statue of gold and Parian marble. At the back of the temple are paintings of"
Pausanias,Description of Greece,5.6.6,,"a tomb, and upon the grave is a statue of marble from the Pentelic quarry. The neighbors say that it"
Pausanias,Description of Greece,5.10.3,,"The tiles are not of baked earth, but of Pentelic marble cut into the shape of tiles. The invention is"
Pausanias,Description of Greece,5.11.10,,"round the black stone runs a raised rim of Parian marble, to keep in the olive oil that is poured"
Pausanias,Description of Greece,5.12.6,,"There are statues of emperors: Hadrian, of Parian marble dedicated by the cities of the Achaean confederacy, and"
Pausanias,Description of Greece,5.17.3,,"date other images were dedicated in the Heraeum, including a marble Hermes carrying the baby Dionysus, a work of Praxiteles"
Pausanias,Description of Greece,6.20.8,,the games. Opposite the umpires is an altar of white marble; seated on this altar a woman looks
Pausanias,Description of Greece,6.21.2,,of the Maid and of Demeter new ones of Pentelic marble were dedicated by Herodes the Athenian. In the gymnasium
Pausanias,Description of Greece,6.24.6,,"gilded, while their faces, hands and feet are of white marble. One of them holds a rose, the middle one"
Pausanias,Description of Greece,6.25.4,,"except the face, hands and feet, which are of white marble. Here Sosipolis too is worshipped in a small shrine"
Pausanias,Description of Greece,7.2.11,,visit I found nothing in Myus except a white marble temple of Dionysus. A similar fate to that of
Pausanias,Description of Greece,7.5.9,,"other signs, from the workmanship, and especially from the white marble images of Graces and Seasons that stand in the"
Pausanias,Description of Greece,7.20.9,,another of Aphrodite. The images are colossal and of white marble.
Pausanias,Description of Greece,7.22.6,,"Before you enter the city is a tomb of white marble, well worth seeing, especially for the paintings on the"
Pausanias,Description of Greece,7.23.6,,"hands and feet, which are made of Pentelic marble. One hand is stretched out straight; the other holds... of Hera. Of Athena there are two images of white marble; the image of Hera may be seen by nobody"
Pausanias,Description of Greece,7.25.9,,"and a third of Eileithyia. The images are of Pentelic marble, and were made by Eucleides of Athens . There"
Pausanias,Description of Greece,7.26.4,,"a sanctuary of Zeus with a sitting image of Pentelic marble, the work of Eucleides the Athenian. In this sanctuary ... of Serapis and of Isis, these too being of Pentelic marble. They worship most devoutly the Heavenly Goddess, but human"
Pausanias,Description of Greece,8.15.5,,"only its ruins, which include a large altar of white marble. Here even now the Pheneatians still sacrifice to Apollo"
Pausanias,Description of Greece,8.22.7,,"but of wood. There are here also maidens of white marble, with the legs of birds, and they stand behind"
Pausanias,Description of Greece,8.24.12,,"the Nile in Egypt are made of white marble; but the images of the Nile , became it"
Pausanias,Description of Greece,8.25.6,,"wood, but their faces, hands and feet are of Parian marble. The image of Fury holds what is"
Pausanias,Description of Greece,8.28.1,,"Here there is a temple of Asclepius, made of Pentelic marble, with the god, as a beardless youth, and an"
Pausanias,Description of Greece,8.30.10,,of Artemis Saviour on the left. These are of Pentelic marble and were made by the Athenians Cephisodotus and Xenophon.
Pausanias,Description of Greece,8.37.1,," is a portico on the right, with reliefs of white marble on the wall. On the first relief are wrought ... two images of Aphrodite in a temple, one of white marble, and the other, the older, of wood. There are"
Pausanias,Description of Greece,8.47.1,,"other Health, works of Scopas of Paros in Pentelic marble. Of the votive offerings in the temple"
Pausanias,Description of Greece,8.48.8,,"of Earth, next to which is a slab of white marble. On this is carved Polybius, the son of Lycortas,"
Pausanias,Description of Greece,9.2.5,,"but the altar and the image he made of white marble. Even at the present day they hold ... upright image of huge size. Both figures are of Pentelic marble, and the artist was Praxiteles. Here too is another"
Pausanias,Description of Greece,9.4.1,,"gilded, but the face, hands and feet are of Pentelic marble. In size it is but little smaller than the"
Pausanias,Description of Greece,9.11.4,,"Here is a sanctuary of Heracles. The image, of white marble, is called Champion, and the Thebans Xenocritus and Eubius ... and Heracles, carved by Alcamenes in relief out of Pentelic marble. Adjoining the sanctuary of Heracles are a"
Pausanias,Description of Greece,9.19.6,," is a temple of Artemis with two images of white marble; one carries torches, and the other is like to"
Pausanias,Description of Greece,9.20.4,,"Dionysus the image too is worth seeing, being of Parian marble and a work of Calamis. But a greater marvel"
Pausanias,Description of Greece,9.22.5,," temple of Demeter and her daughter, with images of white marble. There are a sanctuary and an image"
Pausanias,Description of Greece,9.25.3-4,,"saw the image, which, like the throne, is of Pentelic marble. Along the road from the Neistan gate... is a sanctuary of Themis, with an image of white marble; adjoining it is a sanctuary of the Fates, while"
Pausanias,Description of Greece,9.27.3,,"Love for the Thespians, and previously Praxiteles one of Pentelic marble. The story of Phryne and the trick she played"
Pausanias,Description of Greece,9.39.9,,"the grove. Round it is a circular basement of white marble, the circumference of which is about that of the"
Pausanias,Description of Greece,9.40.3,,"18.590 foll. carved in relief on white marble. At Delos , too, there is a small wooden"
Pausanias,Description of Greece,10.4.4,,"of unburnt brick, in which is an image of Pentelic marble, said by some to be Asclepius, by others Prometheus."
Pausanias,Description of Greece,10.16.3,,"Omphalus （Navel） by the Delphians is made of white marble, and is said by the Delphians to be the"
Pausanias,Description of Greece,10.32.1,,"Parnassus , until Herodes the Athenian rebuilt it of Pentelic marble. Such in my day the objects remaining in Delphi"
Pausanias,Description of Greece,10.33.4,,"Artemis. the images are standing, of Attic workmanship, and of marble from the Pentelic quarries. They say that Lilaea was"
Pausanias,Description of Greece,10.35.10,," is of unburnt brick; the image is of Pentelic marble, and the goddess is holding torches. Beside her, bound"
Pausanias,Description of Greece,10.38.12,,also a sanctuary of Artemis with an image of white marble. She is in the attitude of one hurling a
Sophocles,Oedipus at Colonus,1579,"ἀφ᾽ οὗ μέσος στὰς τοῦ τε Θορικίου πέτρου 
κοίλης τ᾽ ἀχέρδου κἀπὸ λαΐνου τάφου, 
καθέζετ᾽: εἶτ᾽ ἔλυσε δυσπινεῖς στολάς. 
κἄπειτ᾽ ἀΰσας παῖδας ἠνώγει ῥυτῶν 
ὑδάτων ἐνεγκεῖν λουτρὰ καὶ χοάς ποθεν: ","Leaping stone, and between the hollow pear-tree and the marble tomb; then he sat down and loosened his filthy"
Strabo,Geography,7.fragments.54,"ὅτι ἐν τῷ ἰσθμῷ τῆς Χερρονήσου τρεῖς πόλειςκεῖνται: πρὸς μὲν τῷ Μέλανι κόλπῳ Καρδία, πρὸς δὲ τῇ Προποντίδι Πακτύη, πρὸς δὲ τῇμεσογαίᾳ Λυσιμάχεια: μῆκος τοῦ ἰσθμοῦ στάδιατετταράκοντα. ",nearest to the land; and the quarry of white marble in the Proconnesus is both large and excellent. After
Strabo,Geography,8.5.7,"εὔσειστος δ᾽ ἡ Λακωνική: καὶ δὴ τοῦΤαϋγέτου κορυφάς τινας ἀπορραγῆναι τινὲςμνημονεύουσιν. εἰσὶ δὲ λατομίαι λίθουπολυτελοῦς τοῦ μὲν Ταιναρίου ἐν Ταινάρῳπαλαιαί, νεωστὶ δὲ καὶ ἐν τῷ Ταϋγέτῳ μέταλλονἀνέῳξάν τινες εὐμέγεθες, χορηγὸν ἔχοντες τὴντῶν Ῥωμαίων πολυτέλειαν.",been broken away. And there are quarries of very costly marble—the old quarries of Taenarian marble on Taenarum; and recently some men have opened a
Strabo,Geography,8.6.21,"τὸν δ᾽ αὐτόν φασι καὶ τὴν Ἵππου κρήνην ἀναβαλεῖν ἐν τῷ Ἑλικῶνι πλήξαντα τῷ ὄνυχι τὴν ὑποῦσαν πέτραν. ὑπὸ δὲ τῇ Πειρήνῃ τὸ Σισύφειόν ἐστιν, ἱεροῦ τινος ἢ βασιλείου λευκῶν [p. 538] λίθων πεποιημένου διασῶζον ἐρείπια οὐκ ὀλίγα. ἀπὸ δὲ τῆς κορυφῆς πρὸς ἄρκτον μὲν ἀφορᾶται ὅ τε Παρνασσὸς καὶ ὁ Ἑλικών, ὄρη ὑψηλὰ καὶ νιφόβολα, καὶ ὁ Κρισαῖος κόλπος ὑποπεπτωκὼς ἀμφοτέροις, περιεχόμενος ὑπὸ τῆς Φωκίδος καὶ τῆς Βοιωτίας καὶ τῆς Μεγαρίδος καὶ τῆς ἀντιπόρθμου τῇ Φωκίδι Κορινθίας καὶ Σικυωνίας: πρὸς ἑσπέραν δὲ ... ὑπέρκειται δὲ τούτων ἁπάντων τὰ καλούμενα Ὄνεια ὄρη διατείνοντα μέχρι Βοιωτίας καὶ Κιθαιρῶνος ἀπὸ τῶν Σκιρωνίδων πετρῶν, ἀπὸ τῆς παρὰ ταύτας ὁδοῦ πρὸς τὴν Ἀττικήν.","of a certain temple, or royal palace, made of white marble. And from the summit, looking towards the north, one"
Strabo,Geography,9.1.24,"τῶν δ᾽ ὀρῶν τὰ μὲν ἐν ὀνόματι μάλιστά ἐστιν ὅτε Ὑμηττὸς καὶ Βριλησσὸς καὶ Λυκαβηττός, ἔτι δὲΠάρνης καὶ Κορυδαλλός. μαρμάρου δ᾽ ἐστὶ τῆς τεὙμηττίας καὶ τῆς Πεντελικῆς κάλλιστα μέταλλαπλησίον τῆς πόλεως: ὁ δ᾽ Ὑμηττὸς καὶ μέλιἄριστον ποιεῖ. τὰ δ᾽ ἀργυρεῖα τὰ ἐν τῇ Ἀττικῇκατ᾽ ἀρχὰς μὲν ἦν ἀξιόλογα, νυνὶ δ᾽ ἐκλείπει: καὶδὴ καὶ οἱ ἐργαζόμενοι, τῆς μεταλλείας ἀσθενῶςὑπακουούσης, τὴν παλαιὰν ἐκβολάδα καὶσκωρίαν ἀναχωνεύοντες εὕρισκον ἔτι ἐξ αὐτῆς[p. 565] ἀποκαθαιρόμενον ἀργύριον, τῶνἀρχαίων ἀπείρως καμινευόντων. τοῦ δὲ μέλιτοςἀρίστου τῶν πάντων ὄντος τοῦ Ἀττικοῦ πολὺβέλτιστόν φασι τὸ ἐν τοῖς ἀργυρείοις, ὃ καὶἀκάπνιστον καλοῦσιν ἀπὸ τοῦ τρόπου τῆςσκευασίας. ","and Corydallus. Near the city are most excellent quarries of marble, the Hymettian and Pentelic. Hymettus also produces the best"
Strabo,Geography,9.5.16," ὕστερον δὲ Φίλιπποςαὐξηθείς, ὁρῶν Ἀθηναίους ἐπικρατοῦντας τῆςθαλάττης καὶ τῶν νήσων ἄρχοντας καὶ τούτωνκαὶ τῶν ἄλλων, ἐποίησε τὰς πλησίον ἑαυτῷμάλιστα ἐνδόξους. πολεμῶν γὰρ περὶ τῆςἡγεμονίας ἐπεχείρει πρώτοις ἀεὶ τοῖς ἐγγύθεν, καὶ καθάπερ αὐτῆς τῆς Μαγνήτιδος τὰ πολλὰμέρη Μακεδονίαν ἐποίησε καὶ τῆς Θρᾴκης καὶτῆς ἄλλης τῆς κύκλῳ γῆς, οὕτω καὶ τὰς πρὸ τῆςΜαγνησίας νήσους ἀφῃρεῖτο, καὶ τὰς ὑπ᾽οὐδενὸς γνωριζομένας πρότερον περιμαχήτουςκαὶ γνωρίμους ἐποίει. τὴν δ᾽ οὖν Σκῦρον καὶμάλιστα μὲν αἱ ἀρχαιολογίαι συνιστῶσιν, ἀλλὰκαὶ τὰ τοιαῦτα θρυλεῖσθαι ποιεῖ, οἷον αἱ τῶναἰγῶν ἀρεταὶ τῶν Σκυρίων, [p. 617] καὶ τὰμέταλλα τῆς ποικίλης λίθου τῆς Σκυρίας, καθάπερ τῆς Καρυστίας καὶ τῆς Δοκιμαίας ἢΣυνναδικῆς, καὶ τῆς Ἱεραπολιτικῆς. μονολίθουςγὰρ κίονας καὶ πλάκας μεγάλας ὁρᾶν ἔστιν ἐν τῇῬώμῃ τῆς ποικίλης λιθείας, ἀφ᾽ ἧς ἡ πόλιςκοσμεῖται δημοσίᾳ τε καὶ ἰδίᾳ, πεποίηκέ τε τὰλευκόλιθα οὐ πολλοῦ ἄξια. "," the Scyrian goats, and the quarries of the Scyrian variegated marble, which is comparable to the Carystian marble, See 10. 1. 6. and to the Docimaean... be seen monolithic columns and great slabs of the variegated marble; and with this marble the city is being adorned both at public and ... expense; and it has caused the quarries of white marble But the Greek might mean, instead of ""quarries of white marble,"" simply ""white marble"" in general. to be of little worth."
Strabo,Geography,10.5.7,"μετὰ δὲ ταύτην Νάξος καὶ Ἄνδρος ἀξιόλογοι καὶΠάρος: ἐντεῦθεν ἦν Ἀρχίλοχος ὁ ποιητής. ὑπὸ δὲΠαρίων ἐκτίσθη Θάσος καὶ Πάριον ἐν τῇΠροποντίδι πόλις. ἐν ταύτῃ μὲν οὖν ὁ βωμὸςλέγεται θέας ἄξιος, [p. 685] σταδιαίας ἔχων τὰςπλευράς: ἐν δὲ τῇ Πάρῳ ἡ Παρία λίθος λεγομένηἀρίστη πρὸς τὴν μαρμαρογλυφίαν.","it is called, in Paros, the best for sculpture in marble. And there is Syros (the first syllable is"
Strabo,Geography,12.5.3,"Πεσσινοῦς δ᾽ ἐστὶν ἐμπόριον τῶν ταύτῃμέγιστον, ἱερὸν ἔχον τῆς μητρὸς τῶν θεῶνσεβασμοῦ μεγάλου τυγχάνον: καλοῦσι δ᾽ αὐτὴνἌγδιστιν. οἱ δ᾽ ἱερεῖς τὸ παλαιὸν μὲν δυνάσταιτινὲς ἦσαν, ἱερωσύνην καρπούμενοι μεγάλην, νυνὶ δὲ τούτων μὲν αἱ τιμαὶ πολὺ μεμείωνται, τὸδὲ ἐμπόριον συμμένει: κατεσκεύασται δ᾽ ὑπὸ τῶνἈτταλικῶν βασιλέων ἱεροπρεπῶς τὸ τέμενοςναῷ τε καὶ στοαῖς λευκολίθοις: ἐπιφανὲς δ᾽ἐποίησαν Ῥωμαῖοι τὸ ἱερόν, ἀφίδρυμα ἐνθένδετῆς θεοῦ μεταπεμψάμενοι κατὰ τοὺς τῆςΣιβύλλης χρησμούς, καθάπερ καὶ τοῦ Ἀσκληπιοῦτοῦ ἐν Ἐπιδαύρῳ. ἔστι δὲ καὶ ὄρος ὑπερκείμενοντῆς πόλεως τὸ Δίνδυμον, ἀφ᾽ οὗ ἡ Δινδυμηνή, καθάπερ ἀπὸ τῶν Κυβέλων ἡ Κυβέλη. πλησίονδὲ καὶ ὁ Σαγγάριος ποταμὸς ποιεῖται τὴν ῥύσιν: ἐπὶ δὲ τούτῳ τὰ παλαιὰ τῶν Φρυγῶν οἰκητήριαΜίδου καὶ ἔτι πρότερον Γορδίου καὶ ἄλλων τινῶν, οὐδ᾽ ἴχνη σώζοντα πόλεων, ἀλλὰ κῶμαι μικρῷμείζους τῶν ἄλλων, οἷόν ἐστι τὸ Γόρδιον καὶΓορβεοῦς, τὸ τοῦ Κάστορος βασίλειον τοῦΣαωκονδάρου, ἐν ᾧ γαμβρὸν ὄντα τοῦτονἀπέσφαξε Δηιόταρος καὶ τὴν θυγατέρα τὴνἑαυτοῦ: τὸ δὲ φρούριον κατέσπασε καὶδιελυμήνατο τὸ πλεῖστον τῆς κατοικίας.","place, with a sanctuary and also with porticos of white marble. The Romans made the temple famous when, in accordance"
