common_name,sci_name,sci_name_cite,distribution,distribution_cite,tree_rad_low,tree_rad_low_cite,tree_rad_high,tree_rad_high_cite,density,density_cite,janka_hardness,janka_hardness_cite,rupture_modulus,rupture_modulus_cite,elastic_modulus,elastic_modulus_cite,crushing_strength,crushing_strength_cite,shrink_rad,shrink_rad_cite,shrink_tan,shrink_tan_cite,shrink_volumetric,shrink_volumetric_cite,rot_resistance,rot_resistance_cite,workability,workability_cite,common_uses,common_uses_cite,primary_sources,primary_sources_cite,archaeological_sources,archaeological_sources_cite,shapefile,shapefile_cite,secondary_sources,secondary_sources_cite,notes,notes_cite,tree_height_low,tree_height_low_cite,tree_height_high,tree_height_high_cite,image,image_cite
amendoim,pterogyne nitens,1,scattered throughout southern south america,1,0.6,1,1,1,800,1,7940,1,108.8,1,12.21,1,51.7,1,3.4,1,6,1,10,1,rated as moderately durable regarding decay resistance.,1,"overall fairly easy to work with both hand and machine tools, though interlocked grain can cause tearout, especially during laning and other machining operations. amendoim has a blunting effect on cutters due to a naturally high silica content. turns, glues, and finishes well.responds well to steam-bending.",1," flooring, furniture, cabinetry, interior trim, and turned objects.",1,,,,,,,,,,,15,1,23,1,,
" andiroba, crabwood"," carapa spp. (carapaguianensis, etc.)",1,central and south america,1,0.6,1,1,1,660,1,5430,1,107.4,1,13.55,1,56.7,1,3.1,1,7.6,1,10.4,1," andiroba is considered moderately durable to very durable regarding decay resistance, though it can be susceptible to insect attack. weathering characteristics are similar to honduran mahogany.",1,"overall andiroba is easy to work with both hand and machine tools. sometimes pieces with interlocked grain will experience tearout during surfacing operations. andiroba also has a moderate blunting effect on tool cutters. andiroba has an increased risk of warping and other drying defects, partially because of its high t/r ratio (2.5). andiroba glues, finishes, and turns well.",1," veneer, plywood,cabinetry,furniture,flooring, interior trim, and turned objects.",1,,,,,,,,,,,25,1,30,1,,
" marblewood, angelim rajado",zygia racemosa (syn.marmaroxylon racemosum),1,northeastern south america,1,0.3,1,0.6,1,1005,1,11250,1,157.1,1,19.43,1,75.8,1,6,1,10.5,1,17.5,1," rated as durable to very durable regarding decay resistance, with moderate resistance to insect attack.",1,"tends to be difficult to work on account of its high density. marblewood can have a moderate to severe blunting effect on tool cutters. glues, turns, and finishes well--though there is a high risk of checking and resin exudation during drying.",1," flooring, sliced veneer, turned objects, cabinetry, and fine furniture.",1,,,,,,,,,,,20,1,30,1,,
" anigre, anegre, aniegre, aningeria (and variant spellings)",pouteria spp. (formerlyaningeria genus),1,africa (most common in tropical areas of east africa),1,1,1,1.2,1,550,1,4380,1,83,1,10.95,1,47.7,1,3.8,1,7,1,11.8,1,rated as non-durable to perishable. not resistant to insect attack. sapwoodsusceptibleto blue fungal staining duringinitialdrying.,1,"overall working characteristics are fair, though depending on the species used, anigre may have silica present and therefore have a blunting effect on tools.",1," veneer, plywood and interior furniture; in board form its used for boatbuilding, general carpentry, and other light construction uses.",1,,,,,,,,,,,30,1,55,1,,
anjan,hardwickia binata,1,india,1,1,1,1.5,1,745,1,6490,1,0,1,15.01,1,56.4,1,3,1,4,1,8,1,very durable.,1,"high cutting resistance. good dimensional stability in regards to flatness, though it can split or check.",1,no data available.,1,,,,,,,,,,,15,1,25,1,,
"keruing, apitong",dipterocarpus spp.,1,southeast asia,1,1,1,1.5,1,745,1,6170,1,115.2,1,15.81,1,61.4,1,5.5,1,10.8,1,16.3,1," varies depending on species, though generally reported as moderately durable; moderate to poor insect resistance.",1,"generally easy to work with hand or machine tools, though silica present in the wood tends to dull cutters. also, resin can exude from the wood and build up on tools and also make wood finishing difficult. movement in service is fairly large.",1," furniture, flooring, trailer decks, and utility lumber.",1,,,,,,,,,,,30,1,60,1,,
" apple, crab apple, wild apple"," malus spp. (malus domestica, malus sieversii, malus sylvestris, etc.)",1,found throughout most temperate climates,1,0.3,1,0,1,830,1,7700,1,88.3,1,8.76,1,41.6,1,5.6,1,10.1,1,17.6,1,apple is rated as non-durable for heartwood decay.,1,"apple can be somewhat difficult to work due to its high density, and can burn easily when being machined. apple glues, stains, finishes, and turns well.",1," fine furniture, tool handles, carving, mallet heads, turned items, and other small specialty wood objects.",1,,,,,,,,,,,4,1,9,1,,
apricot,prunus armeniaca,1,native to eastern europe and asia; planted worldwide,1,0.3,1,0.4,1,745,1,6200,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,6,1,12,1,,
" araracanga, volador",aspidosperma megalocarpon,1," mexico, central america, and northern south america",1,1,1,1.2,1,935,1,10900,1,152.1,1,20.97,1,88.5,1,5.8,1,9.3,1,16.5,1," durability can vary based on growing location rated anywhere from moderately durable to very durable regardingdecay resistance, thoughsusceptibleto insect attack.",1,"overall easy to work, producing good results, though araracanga has an above average blunting effect on cutters. glues, turns, and finishes well.",1," furniture, general construction (within its natural range), flooring, boatbuilding, and turned objects.",1,,,,,,,,,,,30,1,37,1,,
" chakte viga, paela, aripin",caesalpinia platyloba,1,tropical areas of mexico and central america,1,0.3,1,0.6,1,935,1,10010,1,0,1,17.76,1,0,1,2.8,1,8.2,1,10.6,1," chakte viga has been used as afence-postmaterial, with reports stating that the wood lasts up to 100 years in the ground.",1,"despite its high density, chakte viga generally responds well to mostmachiningoperations, though interlocked grain can result in tearout. turns, glues, and finishes well.",1," inlays, furniture, flooring,and turned objects.",1,,,,,,,,,,,6,1,9,1,,
black ash,fraxinus nigra,1,northeastern united states and eastern canada,1,0.3,1,0.6,1,545,1,3780,1,86.9,1,11,1,41.2,1,5,1,7.8,1,15.2,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,15,1,20,1,,
blue ash,fraxinus quadrangulata,1,midwestern united states,1,0.6,1,1,1,640,1,5740,1,95.2,1,9.66,1,48.1,1,3.9,1,6.5,1,11.7,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,15,1,25,1,,
" european ash, common ash",fraxinus excelsior,1,europe and southwestern asia,1,1,1,2,1,680,1,6580,1,103.6,1,12.31,1,51,1,5.7,1,9.6,1,15.3,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,20,1,35,1,,
green ash,fraxinus pennsylvanica,1,eastern and central north america,1,0.3,1,0.6,1,640,1,5340,1,97.2,1,11.4,1,48.8,1,4.6,1,7.1,1,12.5,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,15,1,20,1,,
" mountain ash, victorian ash",eucalyptus regnans,1," southeastern australia, also grown on plantations",1,1,1,1.5,1,680,1,5400,1,96.7,1,14.02,1,58.8,1,6.5,1,13,1,19.6,1," rated as very durable regarding decay resistance, with moderate insect resistance.",1,"overall easy to work with hand and machine tools. glues, turns, and finishes well.",1," veneer, plywood, boatbuilding, general construction/utility wood, flooring, and turned objects.",1,,,,,,,,,,,70,1,100,1,,
oregon ash,fraxinus latifolia,1,western north america,1,0.3,1,1,1,610,1,5160,1,87.6,1,9.38,1,41.7,1,4.1,1,8.1,1,13.2,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,20,1,25,1,,
pumpkin ash,fraxinus profunda,1,eastern north america,1,0.6,1,1,1,575,1,4400,1,76.6,1,8.76,1,39.2,1,3.7,1,6.3,1,12,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,15,1,20,1,,
"tamo ash, japanese ash, manchurian ash",fraxinus mandshurica (sometimes spelled mandschurica),1,"northern asia (china, korea, japan, and russia)",1,0.3,1,0.6,1,560,1,4490,1,74.6,1,8.24,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
" white ash, american white ash",fraxinus americana,1,eastern north america,1,0.6,1,1.5,1,675,1,5870,1,103.5,1,12,1,51.1,1,4.9,1,7.8,1,13.3,1," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.",1,"produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well.",1," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",1,,,,,,,,,,,20,1,30,1,,
bigtooth aspen,populus grandidentata,1,northeastern north america,1,0.6,1,0.7,1,435,1,1870,1,62.8,1,9.86,1,36.6,1,3.3,1,7.9,1,11.8,1,"rated as non-durable, and alsosusceptibleto insect attack.",1,"easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.",1,"boxes/crates, veneer, plywood, and various utility purposes.",1,,,,,,,,,,,20,1,25,1,,
" european aspen, common aspen",populus tremula,1,temperate regions of europe and asia,1,0.6,1,1,1,450,1,1650,1,62,1,9.75,1,35,1,4.8,1,8.3,1,13.2,1,"rated as non-durable, and alsosusceptibleto insect attack.",1,"easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.",1,"boxes/crates, veneer, plywood, and various utility purposes.",1,,,,,,,,,,,15,1,20,1,,
quaking aspen,populus tremuloides,1,canada and northern united states,1,2,1,3,1,415,1,1560,1,57.9,1,8.14,1,29.3,1,3.5,1,6.7,1,11.5,1,"rated as non-durable, and alsosusceptibleto insect attack.",1,"easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.",1,"boxes/crates, veneer, plywood, and various utility purposes.",1,,,,,,,,,,,20,1,30,1,,
avodire,turraeanthus africanus,1," western and central regions of africa, near lakes and streams",1,0.6,1,1,1,575,1,5180,1,106.2,1,11.13,1,51.7,1,4.2,1,6.6,1,11.3,1," avodire is non-durable in regards to decay resistance, and is susceptible to insect attack.",1,"avodire is generally regarded as having good working characteristics, and is easy to work with hand or machine tools though wood with interlocked grain can pose a challenge with tearout while being planed. the wood also has a slight blunting effect on tool cutters. avodire glues and finishes well.",1," veneer, cabinetry, furniture, millwork, and plywood.",1,,,,,,,,,,,25,1,35,1,,
balau,shorea spp.,1,southeast asia,1,1,1,2,1,850,1,7120,1,122.3,1,16.95,1,70.9,1,5.5,1,10.1,1,15.7,1," highly variable among species; should be consideredas non-durable in regard to decay resistance, and is also susceptible to insect attack.",1,"typically hard to work, due to its high density. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well.",1," plywood,veneer, general construction, flooring, as well as a number of other general utility purposes.",1,,,,,,,,,,,45,1,60,1,,
"cypress, baldcypress",taxodium distichum,1,southeastern united states,1,1,1,1.5,1,515,1,2270,1,73.1,1,9.93,1,43.9,1,3.8,1,6.2,1,10.5,1," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.",1,"sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties.",1," exterior construction, docks, boatbuilding, interior trim, and veneer.",1,,,,,,,,,,,24,1,37,1,,
balsa,ochroma pyramidale,1,tropical regions of the americas; also grown on plantations,1,1,1,1.2,1,150,1,390,1,19.6,1,3.71,1,11.6,1,2.3,1,6,1,8.5,1," sapwood is rated as perishable, and is also susceptible to insect attack.",1,"generally very easy to work with virtually no dulling effect on cutters; yet because of its extremely low density, fuzzy surfaces can be a problem when using dull cutters. balsa generally should not be used to hold nails, with glue being the preferred method of joining. balsa stains and finishes well, though it has a tendency to soak up large quantities of material on the initial coats.",1," buoys, rafts, surfboards, model airplanes, musical instruments, packing/transport cases, core stock in sandwich laminations, and fishing lures.",1,,,,,,,,,,,18,1,28,1,,
bamboo,,1,most timber-producing bamboos are from south asia,1,0.1,1,0.2,1,500,1,6270,1,76,1,18,1,62,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,15,1,30,1,,
" basswood, american basswood, lime, linden",tilia americana,1,eastern north america,1,1,1,1.2,1,415,1,1824,1,60,1,10.07,1,32.6,1,6.6,1,9.3,1,15.8,1,basswood is rated as being non-durable in regard to heartwood decay.,1,"easy to work, being very soft and light. perhaps one of the most suitable wood species for hand carving. basswood also glues and finishes well, but has poor steam bending and nail holding characteristics.",1," carvings, lumber,musical instruments (electric guitar bodies), veneer, plywood, and wood pulp and fiber products.",1,,,,,,,,,,,20,1,37,1,,
american beech,fagus grandifolia,1,eastern united states,1,1,1,1.5,1,720,1,5780,1,102.8,1,11.86,1,51.1,1,5.5,1,11.9,1,17.2,1,beech is considered non-durable or perishable; it is also susceptible to insect attack.,1,"overall good workability; it machines well, and glues, finishes, and turns well. beech also responds superbly to steam-bending. it does, however, have a large amount of movement in service, so movement and wood stability must be taken into account.",1," lumber, veneer, flooring, crates/pallets, railroad ties, musical instruments, furniture, turned objects, and other small wooden objects.",1,,,,,,,,,,,30,1,40,1,,
european beech,fagus sylvatica,1,europe,1,1,1,1.5,1,710,1,6460,1,110.1,1,14.31,1,57,1,5.7,1,11.6,1,17.3,1,beech is considered non-durable or perishable; it is also susceptible to insect attack.,1,"overall good workability; it machines well, and glues, finishes, and turns well. beech also responds superbly to steam-bending. it does, however, have a large amount of movement in service, so movement and wood stability must be taken into account.",1," lumber, veneer, flooring, boatbuilding, furniture, cabinetry, musical instruments (piano pinblocks), plywood, and turned objects.",1,,,,,,,,,,,30,1,40,1,,
beefwood,grevillea striata,1,western australia,1,0.3,1,0.6,1,965,1,10770,1,94,1,14,1,54,1,3.5,1,5.8,1,9.3,1,no data available.,1,"fairly difficult to work because of its high density and tendency to tearout during planing. beefwood turns, glues, and finishes well.",1," inlay, marquetry, turned objects, and other small specialty items.",1,,,,,,,,,,,10,1,14,1,,
beli,julbernardia pellegriniana,1," africa (cameroon, gabon)",1,1,1,1.5,1,770,1,6580,1,134.8,1,16.09,1,67.2,1,4.4,1,9.2,1,13.7,1," rated as moderately durable, with moderate resistance to insect attack.",1,"generally easy to work with hand and machine tools, though tearout can occur on sections with interlocked grain. beli is considered to be somewhat unstable in service, with high movement. the wood will also react with ferrous metals, developing stains and discolorations when in contact with iron. glues and finishes well.",1," cabinetry, veneer, flooring, and interior millwork.",1,,,,,,,,,,,20,1,30,1,,
"ebiara, berlinia, poculi, red zebrawood","berlinia spp. (b. auriculata, b.bracteosa, b.confusa, and b. grandiflora)",1,west africa,1,1,1,1.5,1,725,1,5690,1,109.6,1,11.14,1,55.4,1,4.7,1,8.7,1,13.2,1,"varies with species, but is generally rated as moderately durable; good insect resistance, though sapwood is vulnerable to ambrosia and powder post beetles.",1,"generally easy to work with hand or machine tools, though planing or surfacing interlocked grain may result in tearout, particularly on quartersawn surfaces. glues, turns, and finishes well.",1,"veneer, furniture, cabinetry, turned objects, and other small speciality wood items.",1,,,,,,,,,,,30,1,40,1,,
alaska paper birch,betula neoalaskana,1,alaska and northern canada,1,0.3,1,0.6,1,610,1,3690,1,93.8,1,13.1,1,51.4,1,6.5,1,9.9,1,16.7,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,15,1,20,1,,
alder-leaf birch,betula alnoides,1," burma, india, and nepal",1,0.6,1,1,1,530,1,3690,1,61.9,1,8.52,1,44.1,1,5,1,7,1,13,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,20,1,30,1,,
" downy birch, european white birch",betula pubescens,1," northern europe, asia, iceland, and greenland",1,0.3,1,0.6,1,625,1,4140,1,122.5,1,12.03,1,0,1,6,1,10,1,16,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,10,1,20,1,,
gray birch,betula populifolia,1,northeastern north america,1,0.3,1,0,1,560,1,3380,1,67.6,1,7.93,1,33.6,1,5.2,1,9.5,1,14.7,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,6,1,12,1,,
paper birch,betula papyrifera,1,northern and central north america,1,0.6,1,1,1,610,1,4050,1,84.8,1,10.97,1,39.2,1,6.3,1,8.6,1,16.2,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,20,1,30,1,,
river birch,betula nigra,1,eastern united states,1,0.6,1,1,1,590,1,4320,1,0,1,0,1,0,1,4.7,1,9.2,1,13.5,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,20,1,30,1,,
silver birch,betula pendula,1,europe and southwest asia,1,0.3,1,0.6,1,640,1,5360,1,114.3,1,13.96,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
sweet birch,betula lenta,1,northeastern north america,1,0.6,1,1,1,735,1,6540,1,116.6,1,14.97,1,58.9,1,6.5,1,9,1,15.6,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,20,1,30,1,,
yellow birch,betula alleghaniensis,1,northeastern north america,1,0.6,1,1,1,690,1,5610,1,114.5,1,13.86,1,56.3,1,7.3,1,9.5,1,16.8,1," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack.",1,"generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well.",1," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",1,,,,,,,,,,,20,1,30,1,,
" african blackwood, mpingo (swahili)",dalbergia melanoxylon,1,dry savanna regions of central and southern africa,1,0.6,1,1,1,1270,1,16320,1,213.6,1,17.95,1,72.9,1,2.9,1,4.8,1,7.7,1," heartwood is rated as very durable in regards to decay resistance, though only moderately resistant to insect attack. the sapwood is commonly attacked by powder-post beetles and other borers.",1,"very difficult to work with hand or machine tools, with an extreme blunting effect on cutters. african blackwood is most often used in turned objects, where it is considered to be among the very finest of all turning woods capable of holding threads and other intricate details well. when made into clarinet or oboe bodies, the wood is typically processed on metal-working equipment, giving it a reputation as being metal-like in some of its working properties.",1," musical instruments (guitars, clarinets, oboes, etc.), inlay, carving, tool handles, and other turned objects.",1,,,,,,,,,,,6,1,9,1,,
" australian blackwood, tasmanian blackwood, acacia blackwood",acacia melanoxylon,1," native to tasmania and eastern australia; also introduced to africa, south america, and southern asia",1,0.6,1,1,1,640,1,5180,1,103.6,1,14.82,1,53.6,1,3.9,1,7.9,1,11.9,1," rated as moderately durable regarding decay resistance, though susceptible to insect attack.",1,"australian blackwood is easily worked with both hand and machine tools, though figured wood and pieces with interlocked grain can cause tearout. australian blackwood turns, glues, stains, and finishes well.responds well to steam bending.",1," veneer, furniture, cabinetry, musical instruments, gunstocks, turned objects, and other specialty wood objects.",1,,,,,,,,,,,20,1,30,1,,
"burmese blackwood, khamphi rosewood, laos rosewood",dalbergia cultrata,1,southeast asia,1,0.3,1,0.5,1,1040,1,14900,1,0,1,0,1,0,1,0,1,0,1,0,1,,1,,1,,1,,,,,,,,,,,20,1,30,1,,
