 amendoim, pterogyne nitens, scattered throughout southern south america,15,23,m,0.6,1,m,800,kg/m3,"7,940",n,108.8,mpa,12.21,gpa,51.7,mpa,radial,3.4,tangential,6,volumetric,10, rated as moderately durable regarding decay resistance.," overall fairly easy to work with both hand and machine tools, though interlocked grain can cause tearout, especially during laning and other machining operations. amendoim has a blunting effect on cutters due to a naturally high silica content. turns, glues, and finishes well.responds well to steam-bending."," flooring, furniture, cabinetry, interior trim, and turned objects.",,,,,,,
" andiroba, crabwood"," carapa spp. (carapaguianensis, etc.)", central and south america,25,30,m,0.6,1,m,660,kg/m3,"5,430",n,107.4,mpa,13.55,gpa,56.7,mpa,radial,3.1,tangential,7.6,volumetric,10.4," andiroba is considered moderately durable to very durable regarding decay resistance, though it can be susceptible to insect attack. weathering characteristics are similar to honduran mahogany."," overall andiroba is easy to work with both hand and machine tools. sometimes pieces with interlocked grain will experience tearout during surfacing operations. andiroba also has a moderate blunting effect on tool cutters. andiroba has an increased risk of warping and other drying defects, partially because of its high t/r ratio (2.5). andiroba glues, finishes, and turns well."," veneer, plywood,cabinetry,furniture,flooring, interior trim, and turned objects.",,,,,,,
" marblewood, angelim rajado", zygia racemosa (syn.marmaroxylon racemosum), northeastern south america,20,30,m,0.3,0.6,m,"1,005",kg/m3,"11,250",n,157.1,mpa,19.43,gpa,75.8,mpa,radial,6,tangential,10.5,volumetric,17.5," rated as durable to very durable regarding decay resistance, with moderate resistance to insect attack."," tends to be difficult to work on account of its high density. marblewood can have a moderate to severe blunting effect on tool cutters. glues, turns, and finishes wellåÑthough there is a high risk of checking and resin exudation during drying."," flooring, sliced veneer, turned objects, cabinetry, and fine furniture.",,,,,,,
" anigre, anegre, aniegre, aningeria (and variant spellings)", pouteria spp. (formerlyaningeria genus), africa (most common in tropical areas of east africa),30,55,m,1,1.2,m,550,kg/m3,"4,380",n,83,mpa,10.95,gpa,47.7,mpa,radial,3.8,tangential,7,volumetric,11.8, rated as non-durable to perishable. not resistant to insect attack. sapwoodsusceptibleto blue fungal staining duringinitialdrying.," overall working characteristics are fair, though depending on the species used, anigre may have silica present and therefore have a blunting effect on tools."," veneer, plywood and interior furniture; in board form its used for boatbuilding, general carpentry, and other light construction uses.",,,,,,,
 anjan, hardwickia binata, india,15,25,m,1,1.5,m,745,kg/m3,"6,490",n,,,15.01,gpa,56.4,mpa,radial,3,tangential,4,volumetric,8, very durable.," high cutting resistance. good dimensional stability in regards to flatness, though it can split or check.", no data available.,,,,,,,
"keruing, apitong",dipterocarpus spp.,southeast asia,30,60,m,1,1.5,m,745,kg/m3,"6,170",n,115.2,mpa,15.81,gpa,61.4,mpa,radial,5.5,tangential,10.8,volumetric,16.3," varies depending on species, though generally reported as moderately durable; moderate to poor insect resistance."," generally easy to work with hand or machine tools, though silica present in the wood tends to dull cutters. also, resin can exude from the wood and build up on tools and also make wood finishing difficult. movement in service is fairly large."," furniture, flooring, trailer decks, and utility lumber.",,,,,,,
" apple, crab apple, wild apple"," malus spp. (malus domestica, malus sieversii, malus sylvestris, etc.)", found throughout most temperate climates,4,9,m,0.3,,m,830,kg/m3,"7,700",n,88.3,mpa,8.76,gpa,41.6,mpa,radial,5.6,tangential,10.1,volumetric,17.6, apple is rated as non-durable for heartwood decay.," apple can be somewhat difficult to work due to its high density, and can burn easily when being machined. apple glues, stains, finishes, and turns well."," fine furniture, tool handles, carving, mallet heads, turned items, and other small specialty wood objects.",,,,,,,
apricot, prunusarmeniaca,native to eastern europe and asia; planted worldwide,6,12,m,0.3,0.4,m,745,kg/m3,"6,200",n,,,,,,,,,,,,,,,,,,,,,,
" araracanga, volador", aspidosperma megalocarpon," mexico, central america, and northern south america",30,37,m,1,1.2,m,935,kg/m3,"10,900",n,152.1,mpa,20.97,gpa,88.5,mpa,radial,5.8,tangential,9.3,volumetric,16.5," durability can vary based on growing location rated anywhere from moderately durable to very durable regardingdecay resistance, thoughsusceptibleto insect attack."," overall easy to work, producing good results, though araracanga has an above average blunting effect on cutters. glues, turns, and finishes well."," furniture, general construction (within its natural range), flooring, boatbuilding, and turned objects.",,,,,,,
" chakte viga, paela, aripin", caesalpinia platyloba, tropical areas of mexico and central america,6,9,m,0.3,0.6,m,935,kg/m3,"10,010",n,,,17.76,gpa,,,radial,2.8,tangential,8.2,volumetric,10.6," chakte viga has been used as afence-postmaterial, with reports stating that the wood lasts up to 100 years in the ground."," despite its high density, chakte viga generally responds well to mostmachiningoperations, though interlocked grain can result in tearout. turns, glues, and finishes well."," inlays, furniture, flooring,and turned objects.",,,,,,,
 black ash, fraxinus nigra, northeastern united states and eastern canada,15,20,m,0.3,0.6,m,545,kg/m3,"3,780",n,86.9,mpa,11,gpa,41.2,mpa,radial,5,tangential,7.8,volumetric,15.2," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
 blue ash, fraxinus quadrangulata, midwestern united states,15,25,m,0.6,1,m,640,kg/m3,"5,740",n,95.2,mpa,9.66,gpa,48.1,mpa,radial,3.9,tangential,6.5,volumetric,11.7," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
" european ash, common ash", fraxinus excelsior, europe and southwestern asia,20,35,m,1,2,m,680,kg/m3,"6,580",n,103.6,mpa,12.31,gpa,51,mpa,radial,5.7,tangential,9.6,volumetric,15.3," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
 green ash, fraxinus pennsylvanica, eastern and central north america,15,20,m,0.3,0.6,m,640,kg/m3,"5,340",n,97.2,mpa,11.4,gpa,48.8,mpa,radial,4.6,tangential,7.1,volumetric,12.5," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
" mountain ash, victorian ash", eucalyptus regnans," southeastern australia, also grown on plantations",70,100,m,1,1.5,m,680,kg/m3,"5,400",n,96.7,mpa,14.02,gpa,58.8,mpa,radial,6.5,tangential,13,volumetric,19.6," rated as very durable regarding decay resistance, with moderate insect resistance."," overall easy to work with hand and machine tools. glues, turns, and finishes well."," veneer, plywood, boatbuilding, general construction/utility wood, flooring, and turned objects.",,,,,,,
 oregon ash, fraxinus latifolia, western north america,20,25,m,0.3,1,m,610,kg/m3,"5,160",n,87.6,mpa,9.38,gpa,41.7,mpa,radial,4.1,tangential,8.1,volumetric,13.2," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
 pumpkin ash, fraxinus profunda, eastern north america,15,20,m,0.6,1,m,575,kg/m3,"4,400",n,76.6,mpa,8.76,gpa,39.2,mpa,radial,3.7,tangential,6.3,volumetric,12," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
"tamo ash, japanese ash, manchurian ash",fraxinus mandshurica (sometimes spelled mandschurica),"northern asia (china, korea, japan, and russia)",20,30,m,0.3,0.6,m,560,kg/m3,"4,490",n,74.6,mpa,8.24,gpa,,,,,,,,,,,,,,,,,,
" white ash, american white ash", fraxinus americana, eastern north america,20,30,m,0.6,1.5,m,675,kg/m3,"5,870",n,103.5,mpa,12,gpa,51.1,mpa,radial,4.9,tangential,7.8,volumetric,13.3," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles.",,,,,,,
 bigtooth aspen, populus grandidentata, northeastern north america,20,25,m,0.6,0.7,m,435,kg/m3,"1,870",n,62.8,mpa,9.86,gpa,36.6,mpa,radial,3.3,tangential,7.9,volumetric,11.8,"rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes.",,,,,,,
" european aspen, common aspen", populus tremula, temperate regions of europe and asia,15,20,m,0.6,1,m,450,kg/m3,"1,650",n,62,mpa,9.75,gpa,35,mpa,radial,4.8,tangential,8.3,volumetric,13.2,"rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes.",,,,,,,
 quaking aspen, populus tremuloides, canada and northern united states,20,30,m,2,3,m,415,kg/m3,"1,560",n,57.9,mpa,8.14,gpa,29.3,mpa,radial,3.5,tangential,6.7,volumetric,11.5,"rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes.",,,,,,,
 avodire, turraeanthus africanus," western and central regions of africa, near lakes and streams",25,35,m,0.6,1,m,575,kg/m3,"5,180",n,106.2,mpa,11.13,gpa,51.7,mpa,radial,4.2,tangential,6.6,volumetric,11.3," avodire is non-durable in regards to decay resistance, and is susceptible to insect attack."," avodire is generally regarded as having good working characteristics, and is easy to work with hand or machine tools though wood with interlocked grain can pose a challenge with tearout while being planed. the wood also has a slight blunting effect on tool cutters. avodire glues and finishes well."," veneer, cabinetry, furniture, millwork, and plywood.",,,,,,,
 balau, shorea spp., southeast asia,45,60,m,1,2,m,850,kg/m3,"7,120",n,122.3,mpa,16.95,gpa,70.9,mpa,radial,5.5,tangential,10.1,volumetric,15.7," highly variable among species; should be consideredas non-durable in regard to decay resistance, and is also susceptible to insect attack."," typically hard to work, due to its high density. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well."," plywood,veneer, general construction, flooring, as well as a number of other general utility purposes.",,,,,,,
" cypress, baldcypress", taxodium distichum, southeastern united states,24,37,m,1,1.5,m,515,kg/m3,"2,270",n,73.1,mpa,9.93,gpa,43.9,mpa,radial,3.8,tangential,6.2,volumetric,10.5," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.","sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties."," exterior construction, docks, boatbuilding, interior trim, and veneer.",,,,,,,
 balsa, ochroma pyramidale, tropical regions of the americas; also grown on plantations,18,28,m,1,1.2,m,150,kg/m3,390,n,19.6,mpa,3.71,gpa,11.6,mpa,radial,2.3,tangential,6,volumetric,8.5," sapwood is rated as perishable, and is also susceptible to insect attack."," generally very easy to work with virtually no dulling effect on cutters; yet because of its extremely low density, fuzzy surfaces can be a problem when using dull cutters. balsa generally should not be used to hold nails, with glue being the preferred method of joining. balsa stains and finishes well, though it has a tendency to soak up large quantities of material on the initial coats."," buoys, rafts, surfboards, model airplanes, musical instruments, packing/transport cases, core stock in sandwich laminations, and fishing lures.",,,,,,,
 bamboo, hundreds of species among dozens ofgenera from thepoaceae (grass) family <br />(many timber-producing bamboos are from thephyllostachys and bambusa genera), most timber-producing bamboos are from south asia,15,30,m,0.1,0.2,m,500,kg/m3,"6,270",n,76,mpa,18,gpa,62,mpa,,,,,,,,,,,,,,,,
" basswood, american basswood, lime, linden", tilia americana, eastern north america,20,37,m,1,1.2,m,415,kg/m3,"1,824",n,60,mpa,10.07,gpa,32.6,mpa,radial,6.6,tangential,9.3,volumetric,15.8, basswood is rated as being non-durable in regard to heartwood decay.,"easy to work, being very soft and light. perhaps one of the most suitable wood species for hand carving. basswood also glues and finishes well, but has poor steam bending and nail holding characteristics."," carvings, lumber,musical instruments (electric guitar bodies), veneer, plywood, and wood pulp and fiber products.",,,,,,,
 american beech, fagus grandifolia, eastern united states,30,40,m,1,1.5,m,720,kg/m3,"5,780",n,102.8,mpa,11.86,gpa,51.1,mpa,radial,5.5,tangential,11.9,volumetric,17.2, beech is considered non-durable or perishable; it is also susceptible to insect attack.,"overall good workability; it machines well, and glues, finishes, and turns well. beech also responds superbly to steam-bending. it does, however, have a large amount of movement in service, so movement and wood stability must be taken into account."," lumber, veneer, flooring, crates/pallets, railroad ties, musical instruments, furniture, turned objects, and other small wooden objects.",,,,,,,
 european beech, fagus sylvatica, europe,30,40,m,1,1.5,m,710,kg/m3,"6,460",n,110.1,mpa,14.31,gpa,57,mpa,radial,5.7,tangential,11.6,volumetric,17.3, beech is considered non-durable or perishable; it is also susceptible to insect attack.,"overall good workability; it machines well, and glues, finishes, and turns well. beech also responds superbly to steam-bending. it does, however, have a large amount of movement in service, so movement and wood stability must be taken into account."," lumber, veneer, flooring, boatbuilding, furniture, cabinetry, musical instruments (piano pinblocks), plywood, and turned objects.",,,,,,,
 beefwood, grevillea striata, western australia,10,14,m,0.3,0.6,m,965,kg/m3,"10,770",n,94,mpa,14,gpa,54,mpa,radial,3.5,tangential,5.8,volumetric,9.3, no data available.," fairly difficult to work because of its high density and tendency to tearout during planing. beefwood turns, glues, and finishes well."," inlay, marquetry, turned objects, and other small specialty items.",,,,,,,
 beli, julbernardia pellegriniana," africa (cameroon, gabon)",20,30,m,1,1.5,m,770,kg/m3,"6,580",n,134.8,mpa,16.09,gpa,67.2,mpa,radial,4.4,tangential,9.2,volumetric,13.7," rated as moderately durable, with moderate resistance to insect attack."," generally easy to work with hand and machine tools, though tearout can occur on sections with interlocked grain. beli is considered to be somewhat unstable in service, with high movement. the wood will also react with ferrous metals, developing stains and discolorations when in contact with iron. glues and finishes well."," cabinetry, veneer, flooring, and interior millwork.",,,,,,,
"ebiara, berlinia, poculi, red zebrawood","berlinia spp. (b. auriculata, b.bracteosa, b.confusa, and b. grandiflora)",west africa,30,40,m,1,1.5,m,725,kg/m3,"5,690",n,109.6,mpa,11.14,gpa,55.4,mpa,radial,4.7,tangential,8.7,volumetric,13.2,"varies with species, but is generally rated as moderately durable; good insect resistance, though sapwood is vulnerable to ambrosia and powder post beetles.","generally easy to work with hand or machine tools, though planing or surfacing interlocked grain may result in tearout, particularly on quartersawn surfaces. glues, turns, and finishes well.","veneer, furniture, cabinetry, turned objects, and other small speciality wood items.",,,,,,,
 alaska paper birch, betula neoalaskana, alaska and northern canada,15,20,m,0.3,0.6,m,610,kg/m3,"3,690",n,93.8,mpa,13.1,gpa,51.4,mpa,radial,6.5,tangential,9.9,volumetric,16.7," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
 alder-leaf birch, betula alnoides," burma, india, and nepal",20,30,m,0.6,1,m,530,kg/m3,"3,690",n,61.9,mpa,8.52,gpa,44.1,mpa,radial,5,tangential,7,volumetric,13," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
" downy birch, european white birch", betula pubescens," northern europe, asia, iceland, and greenland",10,20,m,0.3,0.6,m,625,kg/m3,"4,140",n,122.5,mpa,12.03,gpa,,,radial,6,tangential,10,volumetric,16," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
 gray birch, betula populifolia, northeastern north america,6,12,m,0.3,,m,560,kg/m3,"3,380",n,67.6,mpa,7.93,gpa,33.6,mpa,radial,5.2,tangential,9.5,volumetric,14.7," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
 paper birch, betula papyrifera, northern and central north america,20,30,m,0.6,1,m,610,kg/m3,"4,050",n,84.8,mpa,10.97,gpa,39.2,mpa,radial,6.3,tangential,8.6,volumetric,16.2," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
 river birch, betula nigra, eastern united states,20,30,m,0.6,1,m,590,kg/m3,"4,320",n,,,,,,,radial,4.7,tangential,9.2,volumetric,13.5," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
 silver birch, betula pendula, europe and southwest asia,20,30,m,0.3,0.6,m,640,kg/m3,"5,360",n,114.3,mpa,13.96,gpa,,,,,,,,,,,,,,,,,,
 sweet birch, betula lenta, northeastern north america,20,30,m,0.6,1,m,735,kg/m3,"6,540",n,116.6,mpa,14.97,gpa,58.9,mpa,radial,6.5,tangential,9,volumetric,15.6," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
 yellow birch, betula alleghaniensis, northeastern north america,20,30,m,0.6,1,m,690,kg/m3,"5,610",n,114.5,mpa,13.86,gpa,56.3,mpa,radial,7.3,tangential,9.5,volumetric,16.8," birch is perishable, and will readily rot and decay if exposed to the elements. the wood is also susceptible to insect attack."," generally easy to work with hand and machine tools, though boards with wild grain can cause grain tearout during machining operations. turns, glues, and finishes well."," plywood, boxes, crates, turned objects, interior trim, and other small specialty wood items.",,,,,,,
" african blackwood, mpingo (swahili)", dalbergia melanoxylon, dry savanna regions of central and southern africa,6,9,m,0.6,1,m,"1,270",kg/m3,"16,320",n,213.6,mpa,17.95,gpa,72.9,mpa,radial,2.9,tangential,4.8,volumetric,7.7," heartwood is rated as very durable in regards to decay resistance, though only moderately resistant to insect attack. the sapwood is commonly attacked by powder-post beetles and other borers."," very difficult to work with hand or machine tools, with an extreme blunting effect on cutters. african blackwood is most often used in turned objects, where it is considered to be among the very finest of all turning woodsåÑcapable of holding threads and other intricate details well. when made into clarinet or oboe bodies, the wood is typically processed on metal-working equipment, giving it a reputation as being metal-like in some of its working properties."," musical instruments (guitars, clarinets, oboes, etc.), inlay, carving, tool handles, and other turned objects.",,,,,,,
" australian blackwood, tasmanian blackwood, acacia blackwood", acacia melanoxylon," native to tasmania and eastern australia; also introduced to africa, south america, and southern asia",20,30,m,0.6,1,m,640,kg/m3,"5,180",n,103.6,mpa,14.82,gpa,53.6,mpa,radial,3.9,tangential,7.9,volumetric,11.9," rated as moderately durable regarding decay resistance, though susceptible to insect attack."," australian blackwood is easily worked with both hand and machine tools, though figured wood and pieces with interlocked grain can cause tearout. australian blackwood turns, glues, stains, and finishes well.responds well to steam bending."," veneer, furniture, cabinetry, musical instruments, gunstocks, turned objects, and other specialty wood objects.",,,,,,,
"burmese blackwood, khamphi rosewood, laos rosewood",dalbergia cultrata,southeast asia,20,30,m,0.3,0.5,m,"1,040",kg/m3,"14,900",n,,,,,,,,,,,,,,,,,,,,,,
" bloodwood, satine"," <span style=line-height 19px;"">brosimum rubescens (syn. b. paraense)</span>""", tropical south america,25,45,m,1.2,2.1,m,"1,050",kg/m3,"12,900",n,174.4,mpa,20.78,gpa,98.7,mpa,radial,4.6,tangential,7,volumetric,11.7," reported to be very durable, and resistant to most insect attacks."," bloodwood is extremely dense, and has a pronounced blunting effect on cutters. the wood tends to be brittle and can splinter easily while being worked. those persistent enough to bear with the difficulties of working with bloodwood to the finishing stage are rewarded with an exceptional and lustrous red surface.","carvings, trim, inlays, furniture, guitars, knife handles, and turned objects.",,,,,,,
red bloodwood,corymbia gummifera,coastal areas of eastern australia,20,30,m,1,1.2,m,865,kg/m3,"10,910",n,99.1,mpa,12.83,gpa,58.5,mpa,radial,3,tangential,6,volumetric,9,,,,,,,,,,
 blue mahoe, talipariti elatum (syn. hibiscus elatus), native to cuba and jamaica; widely planted throughout thecaribbean,18,21,m,0.3,0.6,m,755,kg/m3,"6,320",n,,,,,,,radial,2.1,tangential,4.9,volumetric,7.1, reports range from moderately durable to very durable regarding decay resistance. also reported to be resistant to insect attacks.," overall easy to work with both hand and machine tools. turns, glues, and finishes well."," cabinetry, furniture,turnedobjects, carvings, musicalinstruments, inlay, marquetry, and interior trim.",,,,,,,
 bocote, cordia spp.,mexico and central/south america,20,30,m,1,1.5,m,855,kg/m3,"8,950",n,114.4,mpa,12.19,gpa,59.4,mpa,radial,4,tangential,7.4,volumetric,11.6, heartwood is rated from moderately durable to very durable depending on the species; it is susceptible to insect attack.," some species may contain silica that will dull cutters. on the whole, bocote is easily worked and machined with good results. although bocote has a fairly high amount of natural oils present, gluing is usually problem-free. (see the article on gluing oily tropical hardwoods for more information.) bocote also turns and finishes well."," fine furniture, cabinetry, flooring, veneer, boatbuilding, musical instruments, gunstocks, turned objects, and other small specialty wood items.",,,,,,,
