Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
 amendoim, pterogyne nitens, scattered throughout southern south america," 50-75 ft (15-23 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 50 lbs/ft3 (800 kg/m3)," 1,780 lbf (7,940 n)"," 15,780 lbf/in2 (108.8 mpa)"," 1,771,000 lbf/in2 (12.21 gpa)"," 7,500 lbf/in2 (51.7 mpa)"," radial 3.4%, tangential 6.0%, volumetric 10.0%, t/r ratio 1.8", rated as moderately durable regarding decay resistance.," overall fairly easy to work with both hand and machine tools, though interlocked grain can cause tearout, especially during laning and other machining operations. amendoim has a blunting effect on cutters due to a naturally high silica content. turns, glues, and finishes well.responds well to steam-bending."," flooring, furniture, cabinetry, interior trim, and turned objects."
" andiroba, crabwood"," carapa spp. (carapaguianensis, etc.)", central and south america," 80-100 ft (25-30 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 41 lbs/ft3 (660 kg/m3)," 1,220 lbf (5,430 n)"," 15,580 lbf/in2 (107.4 mpa)"," 1,965,000 lbf/in2 (13.55 gpa)"," 8,220 lbf/in2 (56.7 mpa)"," radial 3.1%, tangential 7.6%, volumetric 10.4%, t/r ratio 2.5"," andiroba is considered moderately durable to very durable regarding decay resistance, though it can be susceptible to insect attack. weathering characteristics are similar to honduran mahogany."," overall andiroba is easy to work with both hand and machine tools. sometimes pieces with interlocked grain will experience tearout during surfacing operations. andiroba also has a moderate blunting effect on tool cutters. andiroba has an increased risk of warping and other drying defects, partially because of its high t/r ratio (2.5). andiroba glues, finishes, and turns well."," veneer, plywood,cabinetry,furniture,flooring, interior trim, and turned objects."
" marblewood, angelim rajado", zygia racemosa (syn.marmaroxylon racemosum), northeastern south america," 65-100 ft (20-30 m) tall, 1-2 ft (.3-.6 m) trunk diameter","  63 lbs/ft3 (1,005 kg/m3)"," 2,530 lbf (11,250 n)"," 22,780 lbf/in2 (157.1 mpa)"," 2,818,000 lbf/in2 (19.43 gpa)","10,990 lbf/in2 (75.8 mpa)"," radial 6.0%, tangential 10.5%, volumetric 17.5%, t/r ratio 1.8"," rated as durable to very durable regarding decay resistance, with moderate resistance to insect attack."," tends to be difficult to work on account of its high density. marblewood can have a moderate to severe blunting effect on tool cutters. glues, turns, and finishes wellthough there is a high risk of checking and resin exudation during drying."," flooring, sliced veneer, turned objects, cabinetry, and fine furniture."
" anigre, anegre, aniegre, aningeria (and variant spellings)", pouteria spp. (formerlyaningeria genus), africa (most common in tropical areas of east africa),"100-180 ft (30-55 m) tall, 3-4 ft (1.0-1.2 m) trunk diameter",  34 lbs/ft3 (550 kg/m3)," 990 lbf (4,380 n)"," 12,040 lbf/in2 (83.0 mpa)","  1,588,000 lbf/in2 (10.95 gpa)"," 6,920 lbf/in2 (47.7 mpa)"," radial 3.8%, tangential 7.0%, volumetric 11.8%, t/r ratio 1.8", rated as non-durable to perishable. not resistant to insect attack. sapwoodsusceptibleto blue fungal staining duringinitialdrying.," overall working characteristics are fair, though depending on the species used, anigre may have silica present and therefore have a blunting effect on tools."," veneer, plywood and interior furniture; in board form its used for boatbuilding, general carpentry, and other light construction uses."
 anjan, hardwickia binata, india," 50-80 ft (15-25 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 46 lbs/ft3 (745 kg/m3)," 1,460 lbf (6,490 n)*", no data available," 2,177,000 lbf/in2 (15.01 gpa)"," 8,170 lbf/in2 (56.4 mpa)"," radial 3.0%, tangential 4.0%, volumetric 8.0%, t/r ratio 1.3", very durable.," high cutting resistance. good dimensional stability in regards to flatness, though it can split or check.", no data available.
"keruing, apitong",dipterocarpus spp.,southeast asia,"100-200 ft (30-60 m) tall, 3-5 ft (1-1.5 m) trunk diameter",46 lbs/ft3 (745 kg/m3),"1,390 lbf (6,170 n)","16,710 lbf/in2 (115.2 mpa)","2,293,000 lbf/in2 (15.81 gpa)","8,900 lbf/in2 (61.4 mpa)"," radial 5.5%, tangential 10.8%, volumetric 16.3%, t/r ratio 2.0"," varies depending on species, though generally reported as moderately durable; moderate to poor insect resistance."," generally easy to work with hand or machine tools, though silica present in the wood tends to dull cutters. also, resin can exude from the wood and build up on tools and also make wood finishing difficult. movement in service is fairly large."," furniture, flooring, trailer decks, and utility lumber."
" apple, crab apple, wild apple"," malus spp. (malus domestica, malus sieversii, malus sylvestris, etc.)", found throughout most temperate climates," 13-30 ft (4-9 m) tall, 1 ft (.3 m) trunk diameter", 52 lbs/ft3 (830 kg/m3)," 1,730 lbf (7,700 n)"," 12,800 lbf/in2 (88.3 mpa)","  1,270,000 lbf/in2 (8.76 gpa)"," 6,030 lbf/in2 (41.6 mpa)"," radial 5.6%, tangential 10.1%, volumetric 17.6%, t/r ratio 1.8", apple is rated as non-durable for heartwood decay.," apple can be somewhat difficult to work due to its high density, and can burn easily when being machined. apple glues, stains, finishes, and turns well."," fine furniture, tool handles, carving, mallet heads, turned items, and other small specialty wood objects."
apricot, prunusarmeniaca,native to eastern europe and asia; planted worldwide,"20-40 ft (6-12 m) tall, 1-1.5 ft (.3-.4 m) trunk diameter",46 lbs/ft3 (745 kg/m3),"1,390 lbf (6,200 n)*",no data available,no data available,no data available, no data available, no data available.,"areas with straight and clear grain are easy to work with hand or machine tools. care must be taken when surfacing irregular grain or knots to avoid tearout. apricot glues, turns, and finishes well.","turned objects, musical instruments, carvings, and knife handles."
" araracanga, volador", aspidosperma megalocarpon," mexico, central america, and northern south america"," 100-120 ft (30-37 m) tall, 3-4 ft (1-1.2m) trunk diameter", 59 lbs/ft3 (935 kg/m3)," 2,450 lbf (10,900 n)"," 22,060 lbf/in2 (152.1 mpa)"," 3,041,000 lbf/in2 (20.97 gpa)"," 12,830 lbf/in2 (88.5 mpa)"," radial 5.8%, tangential 9.3%, volumetric 16.5%, t/r ratio 1.6"," durability can vary based on growing location rated anywhere from moderately durable to very durable regardingdecay resistance, thoughsusceptibleto insect attack."," overall easy to work, producing good results, though araracanga has an above average blunting effect on cutters. glues, turns, and finishes well."," furniture, general construction (within its natural range), flooring, boatbuilding, and turned objects."
" chakte viga, paela, aripin", caesalpinia platyloba, tropical areas of mexico and central america," 20-30 ft (6-9 m) tall, 1-2 ft (.3-.6 m) trunk diameter",58 lbs/ft3 (935 kg/m3)," 2,250 lbf (10,010 n)", no data available,"2,574,000 lbf/in2 (17.76 gpa)", no data available,"radial 2.8%, tangential 8.2%, volumetric 10.6%, t/r ratio 2.9"," chakte viga has been used as afence-postmaterial, with reports stating that the wood lasts up to 100 years in the ground."," despite its high density, chakte viga generally responds well to mostmachiningoperations, though interlocked grain can result in tearout. turns, glues, and finishes well."," inlays, furniture, flooring,and turned objects."
 black ash, fraxinus nigra, northeastern united states and eastern canada," 50-65 ft (15-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 34 lbs/ft3 (545 kg/m3)," 850 lbf (3,780 n)"," 12,600 lbf/in2 (86.9 mpa)"," 1,600,000 lbf/in2 (11.00 gpa)"," 5,970 lbf/in2 (41.2 mpa)"," radial 5.0%, tangential 7.8%, volumetric 15.2%, t/r ratio 1.6"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
 blue ash, fraxinus quadrangulata, midwestern united states," 50-80 ft (15-25 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 40 lbs/ft3 (640 kg/m3),"1,290 lbf (5,740 n)"," 13,800 lbf/in2 (95.2 mpa)"," 1,400,000 lbf/in2 (9.66 gpa)"," 6,980 lbf/in2 (48.1 mpa)"," radial 3.9%, tangential 6.5%, volumetric 11.7%, t/r ratio 1.7"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
" european ash, common ash", fraxinus excelsior, europe and southwestern asia," 65-115 ft (20-35 m) tall, 3-6 ft (1-2 m) trunk diameter", 42 lbs/ft3 (680 kg/m3)," 1,480 lbf (6,580 n)"," 15,020 lbf/in2 (103.6 mpa)"," 1,785,000 lbf/in2 (12.31 gpa)"," 7,400 lbf/in2 (51.0 mpa)"," radial 5.7%, tangential 9.6%, volumetric 15.3%, t/r ratio 1.7"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
 green ash, fraxinus pennsylvanica, eastern and central north america," 50-65 ft (15-20 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 40 lbs/ft3 (640 kg/m3)," 1,200 lbf (5,340 n)"," 14,100 lbf/in2 (97.2 mpa)"," 1,660,000 lbf/in2 (11.40 gpa)"," 7,080 lbf/in2 (48.8 mpa)"," radial 4.6%, tangential 7.1%, volumetric 12.5%, t/r ratio 1.5"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
" mountain ash, victorian ash", eucalyptus regnans," southeastern australia, also grown on plantations"," 230-330 ft (70-100 m) tall, 3-5 ft (1-1.5 m) trunk diameter", 42 lbs/ft3 (680 kg/m3)," 1,210 lbf (5,400 n)"," 14,010 lbf/in2 (96.7 mpa)"," 2,033,000 lbf/in2 (14.02 gpa)"," 8,530 lbf/in2 (58.8 mpa)"," radial 6.5%, tangential 13.0%, volumetric 19.6%, t/r ratio 2.0"," rated as very durable regarding decay resistance, with moderate insect resistance."," overall easy to work with hand and machine tools. glues, turns, and finishes well."," veneer, plywood, boatbuilding, general construction/utility wood, flooring, and turned objects."
,,,,,,,,,,,,
 oregon ash, fraxinus latifolia, western north america," 65-80 ft (20-25 m) tall, 1-3 ft (.3-1.0 m) trunk diameter", 38 lbs/ft3 (610 kg/m3)," 1,160 lbf (5,160 n)"," 12,700 lbf/in2 (87.6 mpa)"," 1,360,000 lbf/in2 (9.38 gpa)"," 6,040 lbf/in2 (41.7 mpa)"," radial 4.1%, tangential 8.1%, volumetric 13.2%, t/r ratio 2.0"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
 pumpkin ash, fraxinus profunda, eastern north america," 50-65 ft (15-20 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 36 lbs/ft3 (575 kg/m3)," 990 lbf (4,400 n)"," 11,100 lbf/in2 (76.6 mpa)"," 1,270,000 lbf/in2 (8.76 gpa)"," 5,690 lbf/in2 (39.2 mpa)"," radial 3.7%, tangential 6.3%, volumetric 12.0%, t/r ratio 1.7"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
,erage Dried Weight:::;;;,erage Dried Weight:::,erage Dried Weight:::;;;,erage Dried Weight:::,erage Dried Weight:::;;;,erage Dried Weight:::,erage Dried Weight:::;;;,erage Dried Weight:::,erage Dried Weight:::;;;,erage Dried Weight:::,erage Dried Weight:::;;;,erage Dried Weight:::
"tamo ash, japanese ash, manchurian ash",fraxinus mandshurica (sometimes spelled mandschurica),"northern asia (china, korea, japan, and russia)","65-100 ft (20-30 m) tall, 1-2 ft (.3-.6 m) trunk diameter",35lbs/ft3 (560 kg/m3)," 1,010 lbf (4,490 n)*"," 10,810 lbf/in2 (74.6 mpa)"," 1,195,000 lbf/in2 (8.24 gpa)",no data available,no data available, heartwood is rated as perishable; poor insect/borer resistance.,"produces good results with hand or machine tools. glues, stains, and finishes well.","veneer, musical instruments (drum shells and guitars), fine furniture, marquetry, and other small speciality wood items."
" white ash, american white ash", fraxinus americana, eastern north america," 65-100 ft (20-30 m) tall, 2-5 ft (.6-1.5 m) trunk diameter",  42 lbs/ft3 (675 kg/m3)," 1,320 lbf (5,870 n)"," 15,000 lbf/in2 (103.5 mpa)"," 1,740,000 lbf/in2 (12.00 gpa)"," 7,410 lbf/in2 (51.1 mpa)"," radial 4.9%, tangential 7.8%, volumetric 13.3%, t/r ratio 1.6"," heartwood is rated as perishable, or only slightly durable in regard to decay. ash is also not resistant to insect attack.","produces good results with hand or machine tools. responds well to steam bending. glues, stains, and finishes well."," flooring, millwork, boxes/crates, baseball bats, and other turned objects such as tool handles."
 bigtooth aspen, populus grandidentata, northeastern north america," 65-80 ft (20-25 m) tall, 1.5-2 ft (.6-.7 m) trunk diameter", 27 lbs/ft3 (435 kg/m3)," 420 lbf (1,870 n)"," 9,100 lbf/in2 (62.8 mpa)"," 1,430,000 lbf/in2 (9.86 gpa)","5,300 lbf/in2 (36.6 mpa)"," radial 3.3%, tangential 7.9%, volumetric 11.8%, t/r ratio 2.4","rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes."
" european aspen, common aspen", populus tremula, temperate regions of europe and asia," 50-65 ft (15-20 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 28 lbs/ft3 (450 kg/m3)," 380 lbf (1,650 n)","8,990 lbf/in2(62.0 mpa)"," 1,414,000 lbf/in2 (9.75 gpa)","5,080 lbf/in2(35.0 mpa)","radial 4.8%, tangential 8.3%, volumetric 13.2%, t/r ratio 1.7","rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes."
 quaking aspen, populus tremuloides, canada and northern united states," 65-100 ft (20-30 m) tall,ft (2-3 m) trunk diameter", 26 lbs/ft3 (415 kg/m3)," 350 lbf (1,560 n)"," 8,400 lbf/in2 (57.9 mpa)"," 1,180,000 lbf/in2 (8.14 gpa)","4,250 lbf/in2 (29.3 mpa)"," radial 3.5%, tangential 6.7%, volumetric 11.5%, t/r ratio 1.9","rated as non-durable, and alsosusceptibleto insect attack.","easy to work with hand and machine tools, though sharp cutters are necessary when planing to avoid fuzzysurfaces, (subsequent fine-sanding may be necessary to obtain a smooth surface). does not split easily, and has poor nail-holding capability. wood has atendencyto warp and distort during drying. glues and finishes well.","boxes/crates, veneer, plywood, and various utility purposes."
 avodire, turraeanthus africanus," western and central regions of africa, near lakes and streams"," 80-115 ft (25-35 m) tall, 2-3 ft (.6-1.0 m) trunk diameter", 36 lbs/ft3 (575 kg/m3)," 1,170 lbf (5,180 n)"," 15,400 lbf/in2 (106.2 mpa)"," 1,614,000 lbf/in2 (11.13 gpa)","7,490 lbf/in2 (51.7 mpa)"," radial 4.2%, tangential 6.6%, volumetric 11.3%, t/r ratio 1.6"," avodire is non-durable in regards to decay resistance, and is susceptible to insect attack."," avodire is generally regarded as having good working characteristics, and is easy to work with hand or machine tools though wood with interlocked grain can pose a challenge with tearout while being planed. the wood also has a slight blunting effect on tool cutters. avodire glues and finishes well."," veneer, cabinetry, furniture, millwork, and plywood."
 balau, shorea spp., southeast asia," 150-200 ft (45-60 m) tall, 3-6 ft (1-2 m) trunk diameter", 53 lbs/ft3 (850 kg/m3)," 1,600 lbf (7,120 n)"," 17,730 lbf/in2 (122.3 mpa)"," 2,457,000 lbf/in2 (16.95 gpa)"," 10,280 lbf/in2 (70.9 mpa)"," radial 5.5%, tangential 10.1%, volumetric 15.7%, t/r ratio 1.8"," highly variable among species; should be consideredas non-durable in regard to decay resistance, and is also susceptible to insect attack."," typically hard to work, due to its high density. some species may have a slight blunting effect on tools due to small levels of silica present in the wood. glues, stains, and finishes well."," plywood,veneer, general construction, flooring, as well as a number of other general utility purposes."
" cypress, baldcypress", taxodium distichum, southeastern united states,"80-120 ft (24-37 m) tall, 3-5 ft (1-1.5 m) trunk diameter",  32 lbs/ft3 (515 kg/m3)," 510 lbf (2,270 n)"," 10,600 lbf/in2 (73.1 mpa)"," 1,440,000 lbf/in2 (9.93 gpa)"," 6,360 lbf/in2 (43.9 mpa)"," radial 3.8%, tangential 6.2%, volumetric 10.5%, t/r ratio 1.6"," old-growth cypress is rated as being durable to very durable in regards to decay resistance, while wood from younger trees is only rated as moderately durable.","sharp cutters and light passes are recommended when working with cypress to avoid tearout. also, the wood has been reported by some sources to have a moderate dulling effect on cutting edges. cypress has good gluing, nailing, finishing, and paint-holding properties."," exterior construction, docks, boatbuilding, interior trim, and veneer."
 balsa, ochroma pyramidale, tropical regions of the americas; also grown on plantations," 60-90 ft (18-28 m) tall, 3-4 ft (1-1.2 m) trunk diameter",9lbs/ft3 (150 kg/m3), 90 lbf (390 n)," 2,840 lbf/in2 (19.6 mpa)","538,000 lbf/in2 (3.71 gpa)"," 1,690 lbf/in2 (11.6 mpa)"," radial 2.3%, tangential 6.0%, volumetric 8.5%, t/r ratio 2.6"," sapwood is rated as perishable, and is also susceptible to insect attack."," generally very easy to work with virtually no dulling effect on cutters; yet because of its extremely low density, fuzzy surfaces can be a problem when using dull cutters. balsa generally should not be used to hold nails, with glue being the preferred method of joining. balsa stains and finishes well, though it has a tendency to soak up large quantities of material on the initial coats."," buoys, rafts, surfboards, model airplanes, musical instruments, packing/transport cases, core stock in sandwich laminations, and fishing lures."
 bamboo, hundreds of species among dozens ofgenera from thepoaceae (grass) family <br />(many timber-producing bamboos are from thephyllostachys and bambusa genera), most timber-producing bamboos are from south asia," some of the largest bamboos can be up to 50-100 ft (15-30 m) tall, <br />with a 3-6 in (10-20 cm) diameter", 31 lbs/ft3 (500 kg/m3) to 53lbs/ft3 (850 kg/m3)," 1,410 lbf (6,270 n) to1,610 lbf (7,170 n)"," 11,020 lbf/in2 (76.0 mpa) to 24,450lbf/in2 (168.6 mpa)"," 2,610,000 lbf/in2 (18.00 gpa) to2,900,000 lbf/in2 (20.00 gpa)"," 8,990 lbf/in2 (62.0 mpa)to13,490 lbf/in2 (93.0 mpa)","diameter 10-16%, wall thickness 15-17%"," bamboo used in exterior conditions is perishable, and will deteriorate in a matter of years. this is also paralleled in the short natural life cycle of bamboo, where many species quickly reach full maturity after only two or three years, and are subsequently attacked by decay mold and fungi, typically collapsing only a few years later. bamboo is alsosusceptibleto insect attacks such aspowder-post beetles, termites, and marine-borers."," by woodworking standards, bamboo can be different. it is not necessarily difficult to work with, but depending on the species, it may require some special care. bamboo fibers tend to split and pull out when being cross-cut, (applying masking tape across the cut line beforehand is recommended to prevent this sort of tearout). also, bamboo is very high in silicafrom .5% to 4.0%, found almost entirely in the outermost layers of the stemso care must be taken when processing lumber. carbide cutters are strongly recommended, andsurfacesanding is suggested instead of thickness planing with steel cutters, both for longevity of cutting edges, and quality of the finishedsurface. bamboo glues, stains, and finishes well. when turning giant bamboo species, tools dull quickly, and endgrain tearout is common, but tearout tends to be very shallow, and the endgrain sands nearly as easily as the facegrain, and an overall smooth finish can beachievedwith minimal effort."," veneer, paper, flooring, fishing rods,ladders,scaffolding, musical instruments (flutes/woodwinds/chimes), furniture, window blinds, carving, turned items, and small novelty items."
,,,,,,,,,,,,
" basswood, american basswood, lime, linden", tilia americana, eastern north america,"65-120 ft (20-37 m) tall, 3-4 ft (1-1.2 m) trunk diameter",  26 lbs/ft3 (415 kg/m3)," 410 lbf (1,824 n)"," 8,700 lbf/in2 (60.0 mpa)","  1,460,000 lbf/in2 (10.07 gpa)"," 4,730 lbf/in2 (32.6 mpa)"," radial 6.6%, tangential 9.3%, volumetric 15.8%, t/r ratio 1.4", basswood is rated as being non-durable in regard to heartwood decay.,"easy to work, being very soft and light. perhaps one of the most suitable wood species for hand carving. basswood also glues and finishes well, but has poor steam bending and nail holding characteristics."," carvings, lumber,musical instruments (electric guitar bodies), veneer, plywood, and wood pulp and fiber products."
